Necesito_ayuda,Solicitud_de_Ayuda
Estoy_en_una_situación_peligrosa,Solicitud_de_Ayuda
Qué_debo_hacer_si_soy_víctima_de_violencia,Solicitud_de_Ayuda
Dónde_puedo_encontrar_refugio_seguro,Recursos_de_Ayuda
Necesito_el_número_de_teléfono_de_una_línea_de_ayuda,Recursos_de_Ayuda
Cuáles_son_las_organizaciones_que_ayudan_a_las_víctimas_de_violencia,Recursos_de_Ayuda
Cuáles_son_mis_derechos_legales_si_sufro_violencia,Derechos_Legales
Cómo_puedo_obtener_una_orden_de_restricción,Derechos_Legales
Cuáles_son_las_leyes_de_protección_a_las_víctimas_en_mi_área,Derechos_Legales
Cómo_puedo_mantenerme_a_salvo_de_un_agresor,Seguridad_Personal
Qué_medidas_de_seguridad_debo_tomar,Seguridad_Personal
Cómo_puedo_crear_un_plan_de_seguridad,Seguridad_Personal
Necesito_alguien_con_quien_hablar,Apoyo_Emocional
Dónde_puedo_encontrar_consejería_o_apoyo_emocional,Apoyo_Emocional
Cómo_puedo_lidiar_con_el_trauma_causado_por_la_violencia,Apoyo_Emocional
Cómo_puedo_denunciar_un_caso_de_violencia,Denuncia_de_Violencia
Quiero_presentar_cargos_contra_mi_agresor,Denuncia_de_Violencia
Cómo_puedo_ayudar_a_alguien_a_denunciar_un_caso_de_violencia,Denuncia_de_Violencia
Dime_más_sobre_la_prevención_de_la_violencia,Educación_y_Prevención
Cuáles_son_los_signos_de_una_relación_abusiva,Educación_y_Prevención
Cómo_puedo_educar_a_mis_hijos_sobre_la_prevención_de_la_violencia,Educación_y_Prevención
Qué_es_la_violencia_de_género,Información_General
Cuáles_son_las_estadísticas_de_violencia_en_mi_país,Información_General
Cómo_puedo_contribuir_a_combatir_la_violencia_en_mi_comunidad,Información_General
Necesito_ayuda_inmediata,Contacto_de_Emergencia
Estoy_en_peligro_qué_debo_hacer,Contacto_de_Emergencia
Llama_a_la_policía,Contacto_de_Emergencia
Gracias_por_la_ayuda,Agradecimiento
Estoy_agradecido_por_la_información_proporcionada,Agradecimiento
Su_apoyo_ha_sido_valioso,Agradecimiento
